,question,response_dict,policies_sorted
10,"I hope you can assist. I am looking to gather any information in relation to moving to my first home which I am
move into circa 14 Feb 25. Exchange of contracts are due today and will be moving to the following address; 23 Wicks
Close, Haydon Wick, Swindon, SN25 1QH.
Can you provide any D&G on the following please:
Do you have any guidance on claiming back solicitors fees? Sure I have read your are entitled to this but cann
recall.

General requirements when moving from MQ to own property?
How to claim Home to Duty and what is required to start this?
Entitlement to Disturbance Allowanc
Entitlement to Disturbance leave et
Any other things you can assist which I may not be aware of.","{""**Option 1:** Congratulations on your new home! For claiming back solicitors' fees, you are entitled to Refund of Legal Expenses (RLE) as part of the Movement and Storage of Personal Effects (MSPE) allowance. You can claim RLE for legal fees incurred during the purchase of your new home. Ensure you keep receipts and invoices to support your claim. When moving from Military Quarters (MQ) to your own property, you will need to meet the general requirements for a qualifying move. This includes having a permanent assignment order, moving to a new duty station, and meeting the commuting distance criteria. You will also need to ensure you have the necessary documentation, such as proof of ownership or tenancy, to support your claims. To claim Home to Duty (HTD) travel, you will need to submit a claim through the Joint Personnel Administration (JPA) system. You will require your duty station address, travel dates, and mode of transport. Ensure you have all necessary documentation, including receipts and tickets, to support your claim. You are entitled to Disturbance Allowance (DA) to help cover the costs associated with your move. DA is payable for moves within the UK, between the UK and overseas, or between overseas stations. You will need to meet the qualifying criteria and submit a claim through the JPA system. You may also be entitled to Disturbance Leave, which allows you to take time off to settle into your new home. The leave is granted at the discretion of your Commanding Officer, and you should discuss your requirements with them in advance. Other things to consider when moving to your new home include: ensuring you have the necessary documentation, such as proof of ownership or tenancy, to support your claims; understanding the commuting distance criteria; and being aware of the qualifying criteria for MSPE and DA."": 'semantic', '**Option 2:** You can find the following information on JSP 752 :\r\nChapter 12 Section 3 – Refund of legal expense\r\nChapter 12 Section 1 – Disturbance Expense\r\nChapter 7 Section 3 – Home to Duty Travel\r\nChapter 12 Section 4 – Movement and Storage of Personal effects\r\nJSP 760 Chapter 12 – Relocation leave': 'human', ""**Option 3:** Congratulations on your new home! For claiming back solicitors' fees, you are entitled to Refund of Legal Expenses as part of Disturbance Expenses (DE). You will need to keep receipts for solicitors' fees and claim through the JPA online self-service system. When moving from Military Quarter (MQ) to your own property, you will need to meet the qualifying criteria for Disturbance Expenses (DE). This includes being ordered to move to a new duty station, and the move must be to or from a qualifying residence. To claim Home to Duty (HTD) travel, you will need to submit a claim through the JPA online self-service system. You will need to provide details of your journey, including dates, times, and modes of transport. You are entitled to Disturbance Allowance (DA) if you meet the qualifying criteria, which includes being ordered to move to a new duty station and the move being to or from a qualifying residence. DA contributes towards the additional costs incurred when moving to a new home. You are also entitled to Disturbance Leave, which allows you to take time off to settle into your new home. The leave can be taken in conjunction with other types of leave. Other things to consider: you may be eligible for Child Element of DE if you have children who need to change schools due to your move. Additionally, if you are moving due to a security threat, you may be eligible for additional allowances and support."": 'hierarchy'}","['02.0110', '12.0101', '12.0102', '12.0103', '12.0104', '12.0105', '12.0106', '12.0107', '12.0108', '12.0109', '12.0114', '12.0115', '12.0116', '12.0117', '12.0118', '12.0119', '12.0120', '12.0121', '12.0122', '12.0123', '12.0124', '12.0125', '12.0302', '12.0303', '12.0304', '12.0305', '12.0306', '12.0313', '12.0320', '12.0405', '12.0412', '12.0427', '12.0428']"
11,"I may have the wrong person so apologies if I do. I was looking to get some help and advice on get you home
allowance and what forms qualify.","{'**Option 1:** Please apply on the HR Hub. It will bring up a list of acceptable evidence at the start of the applicatio\r\nA council tax bill and another utility bill is a good star': 'human', ""**Option 2:** I'd be happy to help you with Get You Home (GYH) allowance and the forms that qualify. However, I couldn't find any information on Get You Home allowance in the provided search results. It's possible that it's not mentioned in the given sources. If you could provide more context or details about GYH, I may be able to help you better."": 'semantic', ""**Option 3:** I'd be happy to help you with Get You Home (GYH) allowance. GYH is a relocation package designed to assist Service personnel with the costs of relocating to their home area or another location in the UK. To qualify, you'll need to meet certain eligibility criteria, which I can help you with. Could you please provide more details about your situation, such as your current posting, your home location, and your reasons for relocation? This will help me provide more tailored advice."": 'hierarchy'}","['05.0305', '05.0307', '05.0309', '05.0310', '05.0311', '05.0324', '05.0325', '05.0401', '05.0402', '05.0403', '05.0404']"
12,"I am emailing you with regards to my PStat Cat status.
Currently i am Pstat Cat 5, however from reading the JSP i believe i am of a different status and need
to know which i am as i am applying to move into SFA at RAF Wittering.
I currently reside in my own private property with my fiance and my 7 year old step son. As far as im
aware i am voluntarily financialy responsible for him as i pay for him to live with us, feed and clothe
him. My fiancé is the primary carer in agreement with the father and there are no court orders etc to
prove this.
Any guidance on this matter would be greatly appreciated.","{""**Option 1:** Based on the information you provided, it appears that you may be eligible for PStat Cat 2. This is because you are voluntarily financially responsible for your 7-year-old stepson, and you provide a home for him with your fiancé, who is the primary carer. To confirm your PStat Cat status, you should consider the following factors: you are not the biological parent, but you provide a home and financial support for your stepson; your fiancé is the primary carer, and there are no court orders in place. You may need to provide evidence to demonstrate that you are the centre of and prime mover in your stepson's life."": 'hierarchy', ""**Option 2:** Based on your situation, it appears that you may be eligible for PStat Cat 2. This category applies to Service personnel who have parental responsibility for a child and meet certain conditions, including providing a home for the child, being the prime mover in the child's life, and accepting financial responsibility for the child. Since you are voluntarily financially responsible for your 7-year-old stepson, and your fiancé is the primary carer, you may meet the criteria for PStat Cat 2. However, it's essential to note that you will need to demonstrate that you are the centre of and prime mover in your stepson's life, and that you provide a home where you would normally live with him."": 'semantic', '**Option 3:** From the information provided, and looking into the JSP, you would still fall under PStat 5 due to no official documents and\r\nnot being in a registered partnership.\r\nPlease refer to JSP 752. Chapter 2 Section 2 for further information on PSt': 'human'}","['02.0110', '02.0203', '02.0204', '02.0205', '02.0206', '02.0207', '02.0301']"
13,"I moved to a private rental address which is 9 miles away from RAF Wittering on 25 Aug 24 and am finnally
putting my HTD claim in.
When I do the paperwork it says that I require PACCC authorisation to claim under 50 miles. Can you confi
require this and what information they need please? I thought the process was simpler with the new My
Admin interface!","{'**Option 1:** With regards to HDT for private accommodation the personal contribution is first 9 miles. So, basically\r\npaying for the personal contribution you will left with nothing\r\nYou can find this information on JSP 752 under HDT': 'human', '**Option 2:** You do not require PACCC authorisation to claim HDT under 50 miles. The process has changed, and you can now claim HDT through the My Admin interface without needing PACCC authorisation. To complete your HDT claim, you will need to provide proof of private residence, which must be in your name, dated, and show the address for which HDT is to be claimed. This can include a Council Tax bill for the current year or a mortgage or tenancy agreement.': 'semantic', '**Option 3:** You do not require PACCC authorisation to claim under 50 miles. The PACCC authorisation is only required for exceptional cases where the distance exceeds 50 miles. To process your HDT claim, you will need to provide proof of private residence, which includes a council tax bill, mortgage or tenancy agreement, or other documents as specified in the guidelines.': 'hierarchy'}","['07.0335', '07.0336', '07.0337', '07.0338', '07.0339', '07.0340', '07.0341', '07.0342', '07.0343', '07.0344', '07.0345', '07.0346', '07.0347', '07.0348', '07.0349', '07.0368', '07.0369', '07.0370', '07.0371', '07.0372', '07.0373', '07.0374', '07.0375', '07.0376', '07.0377', '07.0378', '07.0379', '07.0380', '07.0381', '07.0382', '07.0383']"
14,"I am looking for advice. I have an AS2 recently posted in to the unit. Are you the best people to discuss what he is
entitled to. He lives in the block on base during the work week but his home address where he lives with his is in
Preston 134 miles from unit. Is he entitled to anything like Home to Duty. Ive tried reading the JSP but I find it
confusing.","{""**Option 1:** I'd be happy to help you with that. Based on the information you provided, it seems that the AS2 is eligible for Disturbance Expenses (DE) and possibly other allowances. Since he lives in the block on base during the workweek but has a home address in Preston, 134 miles from the unit, he may be entitled to DE for travel between his duty station and his home address. To determine the exact entitlement, we would need to consider the AS2's circumstances in more detail. For instance, is he a regular service person or a reserve? Is he married or in a civil partnership? Does he have any dependents? Additionally, we would need to review the JSP 752 chapter 12, which outlines the rules for DE and other allowances. I would recommend consulting with the unit's HR admin staff or a personnel management officer to get a clearer understanding of the AS2's entitlements. They can provide guidance on the specific allowances and expenses the AS2 is eligible for, as well as assist with the claims process."": 'semantic', '**Option 2:** As the SP is living in the block in the week it would be GYH rather than HDT as this is for SP who travel to\r\nand from there home address daily.\r\nPlease see the below criteria to be eligible for GYH:\r\nYou are eligible for GYH (T) if your QRes is more than 50 miles from your Duty Station. However,\r\nwhere you have a family home or privately maintained property within 50 miles of your Duty\r\nStation, but your duties or a travel to work time exceeding 90 minutes by all viable methods and\r\nroutes of travel preclude you from travelling daily from that property, authority to claim GYH (T)\r\nmay be exceptionally granted by the PACCC. Where this is the case you will be invited to upload\r\nevidence.\r\nAlternatively, you may be entitled to GYH (T) when the nature of your duties permits you to travel\r\nto your QRes at weekends and normal stand down periods and such travel is undertaken.\r\nTo prove eligibility you must upload one document from both Group 1 and Group 2. If your QRes\r\nis overseas, any 2 documents from either Group 1 or Group 2 are required. All evidence supplied\r\nmust be shown in the name of the SP, displaying the address for the QRes that GYH (T) is being\r\napplied for.\r\nGroup One\r\nMortgage documents\r\nLand Registry documents\r\nGround Rent\r\nTenancy Agreement\r\nLicence to Occupy including full details of the property\r\nGroup Two\r\nCouncil Tax bill for the current year (or overseas equivalent) for a property which is wholly\r\nor partially owned by the Service Person, or is a property on which the Service Person is a\r\nsignatory on a tenancy agreement\r\nUtility bill (gas, electric, water, telephone but not mobile phone) (to be dated within the last 4\r\nmonths)\r\nBuildings and/or contents insurance (for the current year)\r\n\r\nDirect Debit or Giro bank evidence of payment of any of the Group Two documents above\r\n(to be dated within the last 4 months)\r\nYou will also be required to upload a screenshot from Google maps, displaying the most direct\r\nand shortest route between your Duty Station to Qualifying Residence (QRes).\r\nIf the SP is entitled please can you ask them to apply on the HR hub, they will need to ensure there RWA is\r\nthe address of the block on camp and there Perm home address is the home they would like to claim GYH to': 'human', ""**Option 3:** I'd be happy to help you with that. Based on the information you provided, it seems that the AS2 is eligible for Home to Duty Travel (HDT) since his home address is 134 miles from the unit, which exceeds the 50-mile threshold. HDT is a contribution towards the cost of travel between his Residence at Work Address (RWA) and his home address."": 'hierarchy'}","['04.0402', '07.0301', '07.0302', '07.0303', '07.0304', '07.0305', '07.0317', '07.0329', '07.0342', '07.0345', '12.0105', '12.0106', '12.0107', '12.0108', '12.0109', '12.0117', '12.0121', '12.0408', '12.0409', '12.0410', '12.0411', '12.0412', '12.0501', '12.0502', '12.0707', '12.0708', '12.0801', '12.0802', '12.0803', '12.0804', '12.0805', '12.0806', '12.0807']"
15,"I will be moving on 04 Feb - what am I entitled to in terms of relocation leave for this please?
I have tentatively told my boss that I will be unavailable 3-5 Feb.","{'**Option 1:** You are entitled to relocation leave, but the exact details are not specified in the provided search results. However, it is mentioned that relocation is dependent on the availability of service accommodation at the duty station. It is recommended that you consult with your unit or relevant authorities to determine the exact relocation leave entitlement and to confirm your unavailability dates with your boss.': 'semantic', '**Option 2:** You are entitled to relocation leave, also known as Disturbance Expense (DE), which includes a period of leave to facilitate your relocation. The regulations state that you are entitled to relocation leave within 6 months of reporting for duty at the new assignment. Since you are moving on 04 Feb, you can take relocation leave before your move date.\n\nBased on your tentative plan, you can take relocation leave from 3-5 Feb, which seems reasonable. However, you should confirm the exact dates with your unit HR and ensure that you meet the eligibility criteria for DE.\n\nPlease note that DE is subject to certain conditions and approval from your unit HR. You should review the relevant regulations and consult with your unit HR to confirm your entitlement and the specific details of your relocation leave.': 'hierarchy', '**Option 3:** You can claim Motor Mileage Allowance (MMA) for the last journey to your new duty station.\r\nYou can also claim for Disturbance Expense if you are moving in to Public Accommodation.\r\nAlso UKPASH, PSA.': 'human'}","['12.0320', '12.0321', '12.0355', '12.0401', '12.0402', '12.0403', '12.0404', '12.0405', '12.0406', '12.0407', '12.0408', '12.0409', '12.0410', '12.0411', '12.0412', '12.0413', '12.0415', '12.0416', '12.0417', '12.0427', '12.0428']"
16,"I’m just getting in touch as I am shortly due to move into SFA at RAF Valley, the allocation of housing is
complete, I’m now just looking in to the move itself. I have been looking through JSP 752 regarding movement
of personal effects but it isn’t clear how to actually go about organising the move. How do I arrange the
transfer of all my furniture etc into the SFA house? Also in terms of disturbance allowance, would I be eligible
and if so how do I claim?
This is my first time moving into SFA so not sure on the process, any help would be appreciated.","{'**Option 1:** To arrange the transfer of your personal effects into the SFA house, you will need to complete a ""Part A - Application and Acceptance of Conditions"" form, which can be found in Annex B to Section 4 of Chapter 12 of JSP 752. This form should be completed and submitted to your unit admin staff, who will then authorise the move and arrange for the contractor to undertake the move.\n\nYou will also need to ensure that you have packed your effects in accordance with the guidelines provided by the contractor, and that you have completed a ""Part B - Authority and Entitlement"" form, which will be used to calculate your entitlement to disturbance allowance.\n\nRegarding disturbance allowance, you may be eligible if you are moving into SFA at RAF Valley and meet the eligibility criteria outlined in JSP 752. To claim disturbance allowance, you will need to submit a claim through the JPA on-line self-service system, which can be done up to 45 days prior to the expected move date.\n\nIt is recommended that you speak with your unit admin staff for further guidance on the process and to ensure that you have completed all necessary forms and documentation correctly.': 'hierarchy', '**Option 2:** To arrange the transfer of your personal effects, you should contact the Global Removals Management Service (GRMS) who will coordinate and carry out the movement and storage of your personal effects and unaccompanied baggage through an appointed MOD contractor. Regarding disturbance allowance, you may be eligible for it. You can claim disturbance expense (DE) using the JPA on-line self-service system. You can submit your claim 45 days prior to the expected move date.': 'semantic', '**Option 3:** I have attached a link with regards to movement booking you can find this here: Agility GRMS\r\nWould you like to go through a skype call on how to claim a disturbance expense?': 'human'}","['02.0110', '12.0114', '12.0116', '12.0117', '12.0118', '12.0119', '12.0120', '12.0121', '12.0122', '12.0123', '12.0124', '12.0125', '12.0403', '12.0404', '12.0405', '12.0406', '12.0412', '12.0419', '12.0427', '12.0428', '12.0501', '12.0502']"
17,"I am moving to Lossiemouth at the start of January and would like to know what subsistence claims
my family are intitled to for travel. I have had a look in JSP752 but cannot find anything relating to
families and want to ensure I remain within the permitted rates.
2x hotels have already been booked for me by travel cell.
Could you please let me know the adult rate and if different the child rate for subsistence allowance
when staying in a hotel and what I can claim when staying at family members house which I will be
doing the day the removal company leaves my house before beginning our travel North.","{'**Option 1:** Policy for Subsistence on-assignment can be found in JSP 752, chapter 5, section 1 (para 05.0164\r\nI can confirm on-assignment you will be able to claim for your meal receipts (not alcohol). The current ‘Day\r\nSubsistence’ rate for meals in UK is £30.00 (per person, per day, for accompanying family. Maximum 3 days, or\r\n4, if over a Sunday or Public Holiday). This is NOT a flat rate and receipted costs should be claimed. This rate is\r\nthe same for all family members.\r\nMeal receipts should be claimed via JPA Self-service – JPA Expenses – create a claim – claim type ‘Change of\r\nAssignment’ and expense type ‘Subsistence’ (Day Subsistence for meals & Night Subsistence for hotel\r\nreceipts).\r\nHotels must be Service-arranged via Travel Cell/GBT. The maximum is 3 nights (or 4 night, if over a Sunday or\r\npublic holiday).\r\n\r\nShould you choose to stay with family or friends (excluding spouse or civil partner), instead of a hotel\r\n(Day/Night Subsistence), you can claim PAR (Private Arrangements Rate Staying with Family & Friends) (JSP\r\n752, para 05.0108(b)) . This is paid at the flat rate of £35.00 per day - please note this is a flat rate and\r\nyou cannot claim hotels or meals (Day Subsistence) for yourself and any accompanying family member\r\nduring the period of PAR.': 'human', ""**Option 2:** For subsistence claims related to travel, you can refer to Chapter 5 of JSP 752, which covers Subsistence Expenses. According to the principles outlined in Chapter 5, you and your family are entitled to claim subsistence expenses for travel. Since two hotels have already been booked for you by the travel cell, you can claim subsistence expenses for the actual costs incurred, up to the authorized limits. The adult rate for subsistence expenses is based on the Night Subsistence (NS) rate, which varies depending on the location. You can claim the actual costs of the hotel stay, up to the authorized NS rate. For child rates, you can claim a proportion of the adult NS rate, depending on the child's age. The child rates are not explicitly stated in JSP 752, but you can refer to the relevant sections for guidance on claiming subsistence expenses for children. When staying at a family member's house, you can claim a Private Ration Allowance (PAR) rate, which is a daily allowance to cover the cost of meals and incidentals. The PAR rate varies depending on the location and the number of family members."": 'semantic', ""**Option 3:** For hotel stays, the subsistence allowance rates are as follows: \nThe Night Subsistence (NS) rate is £35.00 per 24-hour period for adults. \nThere is no specific child rate mentioned in the provided search results. \nIt is assumed that the child rate would be the same as the adult rate, but it is recommended to verify this with the relevant authorities. When staying at a family member's house, you can claim Private Arrangements Rate (PAR) which is £35.00 per 24-hour period for adults. \nAgain, there is no specific child rate mentioned, and it is recommended to verify this with the relevant authorities."": 'hierarchy'}","['03.0102', '03.0103', '04.0303', '05.0101', '05.0102', '05.0103', '05.0104', '05.0105', '05.0106', '05.0107', '05.0108', '05.0109', '05.0110', '05.0112', '05.0114', '05.0120', '05.0123', '05.0152', '05.0153', '05.0154', '05.0155', '05.0156', '05.0157', '05.0158', '05.0159', '05.0160', '05.0161', '05.0162', '05.0163', '05.0164', '05.0165', '05.0166', '05.0167', '05.0168', '05.0169', '05.0170', '05.0173', '06.0709', '06.0713', '06.0718']"
18,"I am currently working at RAF Lossiemouth, but my parent unit is RAF Cosford. I am doing a
week’s secondment at RAF Northolt from 6 – 10 Jan 25. I have used my personal vehicle to
travel down and submitted it on clarity. I have checked through JSP 752, but just wanted to
check to see if I could put a claim in for MMA?","{'**Option 1:** Yes, you are eligible to claim Motor Mileage Allowance (MMA) for your journey from RAF Lossiemouth to RAF Northolt.': 'semantic', '**Option 2:** Yes, you can claim Motor Mileage Allowance (MMA) for your travel from RAF Lossiemouth to RAF Northolt.': 'hierarchy', '**Option 3:** You are entitled to MMA. Please submit this claim on JPA only after the journey has been completed.': 'human'}","['06.0358', '06.0359', '06.0360', '06.0401', '06.0402', '06.0403', '06.0404', '06.0405', '06.0406', '06.0407', '06.0408', '06.0409', '06.0412']"
19,"Just a quick question we would like to know if we qualify for travel subsistence for the UET
course.
The dates are 9th MAR 25 to the 10th

MAR 25.

Also, I have attached the JI's.
20250120-UET JIs V6.5.docx","{""**Option 1:** Based on the provided information, it appears that you are inquiring about travel subsistence for a UET course. To determine eligibility, I would need to review the JI's document you attached. However, I do not have access to the attachment. Please provide the relevant information from the document, and I'll do my best to assist you.\n\nRegarding the dates, it seems you are referring to a course taking place from March 9th, 2025, to March 10th, 2025.\n\nTo provide a more accurate answer, I would need more information about your circumstances, such as your duty station, mode of travel, and accommodation arrangements.\n\nPlease provide additional details, and I'll do my best to help you determine if you qualify for travel subsistence."": 'hierarchy', ""**Option 2:** Based on the provided information, it appears that you are inquiring about travel subsistence for a UET course. However, I couldn't find any specific information in the search results that directly addresses your question. The search results provide general guidelines and rules for subsistence claims, but they do not mention the UET course specifically.\n\nTo determine your eligibility for travel subsistence, I would recommend reviewing the course details and the relevant JSP chapters (e.g., JSP 752) to see if they provide any guidance on subsistence claims for the UET course.\n\nAdditionally, you may want to consult with your unit HR admin staff or the course administrators to clarify the subsistence policy for the UET course."": 'semantic', '**Option 3:** Could you please clarify if your referring to travel subsistence is for MMA or food/accommodatio\r\nA subsistence is referred to food and accommodation expenses as day and night subsistenc': 'human'}","['04.0303', '05.0101', '05.0102', '05.0103', '05.0104', '05.0105', '05.0106', '05.0107', '05.0108', '05.0109', '05.0110', '05.0112', '05.0114', '05.0116', '05.0117', '05.0118', '05.0119', '05.0120', '05.0121', '05.0122', '05.0123', '05.0138', '05.0139', '05.0140', '05.0141', '05.0142', '05.0143', '05.0144', '05.0145', '05.0146', '05.0147', '05.0148', '05.0153', '05.0154', '05.0155', '05.0156', '05.0157', '05.0158', '05.0159', '05.0160', '05.0161', '05.0162', '05.0163', '05.0164', '05.0165', '05.0166', '05.0167', '05.0168', '05.0169', '05.0170', '05.0173', '05.0178', '06.0709', '06.0713', '06.0718']"
20,"Myself and my partner completed on our house In Digby Village last month.
I am currently based at HWY and work from home on occasion and my partner is based at RAF CON.","{'**Option 1:** The policy for refund of legal expenses can be found in Chapter 12 Section 3 of JSP 752, I’ll put the\r\nlink below.\r\nPlease apply the policy to your personal circumstance to determine whether you are entitled. If you\r\nhave any questions or need assistance in determining your eligibility, please let us know.': 'human', ""**Option 2:** It seems you are trying to provide information about your personal situation, but this is not a question. Please ask a question related to expenses and claims, and I'll be happy to help."": 'semantic', ""**Option 3:** You are eligible for Get You Home Travel (GYH(T)) as your qualifying residence (QRes) is more than 50 miles from your duty station (HWY) and your partner's duty station (RAF CON)."": 'hierarchy'}","['02.0137', '07.0401', '07.0402', '07.0403', '07.0404', '07.0405', '07.0407', '07.0408', '07.0409', '07.0410', '07.0411', '07.0412']"
21,"I'm hoping you may be able to help with an accommodation query I have please:

I start on Monday at RAF Henlow on promotion as a Sgt and have collected keys to the
mess there, I am able to retain my current SFA under a surplus license with Pinnacle in the
Brize area.
I am informed by accommodation cell at Henlow that I only need to pay for 1x set of
accommodation Im assuming this will be the SFA and not the Sgt mess room? Is this correct
and will this happen automatically so to speak if not whom do I need to notify please.
The room in the mess wont be used often and more for if we are away on deployments and
arrive back late, on certain days I will commute across, im assuming by having the room in
the mess this will invalidate any entitlement to home to duty/get you home but just thought id
raise the question to get some clarity on that please.
Many thanks in advance,","{'**Option 1:** If you send us your SFA retention document and confirmation from Henlows accommodation cell\r\nof your march in date and grade of SLA, we can then add the dual Accomodation waiver for your\r\nSLA.\r\nAs you have SLA, you will not be eligible for Home to Duty, however if your SFA is over 50 miles\r\naway from Henlow, you could look to claim for GYH.': 'human', '**Option 2:** Yes, you are correct that you will only need to pay for one set of accommodation, which will be your SFA in the Brize area. You will not be required to pay for the Sgt mess room at RAF Henlow. It is likely that this will happen automatically, but to confirm, you should notify the accommodation cell at Henlow and your Unit HR to ensure that your records are updated correctly. Having a room in the mess will indeed invalidate your entitlement to Home to Duty (HTD) or Get You Home (GYH) travel allowances, as you will have access to accommodation at your duty station. You will only be eligible for HTD or GYH if you are required to work late and cannot reasonably return to your SFA.': 'hierarchy', ""**Option 3:** Yes, you are correct that you will only need to pay for one set of accommodation, which will be the SFA in the Brize area. As a Sergeant, you are entitled to occupy SFA, and since you have retained your current SFA under a surplus license, you will not be required to pay for the mess room at RAF Henlow. It is likely that this will happen automatically, but to confirm, you should notify the accommodation cell at Henlow and your unit's HR department to ensure that your records are updated correctly. Having a room in the mess will indeed invalidate your entitlement to Home to Duty (HTD) or Get You Home (GYH) travel allowances, as you will have access to accommodation at your duty station. However, you can still claim travel expenses for your commute from Brize to Henlow, as you will be traveling to and from your duty station."": 'semantic'}","['05.0105', '05.0107', '05.0123', '05.0152', '05.0153', '05.0154', '05.0155', '05.0156', '05.0157', '05.0158', '05.0159', '05.0160', '05.0161', '05.0162', '05.0503', '05.0504', '05.0505', '05.0506', '05.0507', '05.0508', '05.0509', '05.0510', '05.0511', '06.0718']"
